Survey_Date,Survey_Time,Study_Area,Transect_Number,Visit_Number,Sample_Number,Observer,Sample_ID,Location_Latitude,Location_Longitude,Snow_Conditions,Comments,Species,Notes,Censor
1/15/2024 17:00,12:36,14,2,1,3,SM,14-2-1-3-SM,148871.1507,509932.5246,75 - 100%,Mature hemlock. Separate set of tracks. ,Snowshoe Hare,,0
1/15/2024 17:00,13:00,14,2,1,4,SM,14-2-1-4-SM,148382.4975,509979.4856,75 - 100%,,Snowshoe Hare,,0
1/15/2024 17:00,13:08,14,2,1,5,SM,14-2-1-5-SM,148359.7045,509982.4108,75 - 100%,,Snowshoe Hare,,0
1/15/2024 17:00,13:14,14,2,1,6,SM,14-2-1-6-SM,148322.0452,509971.9451,75 - 100%,Dense hemlock,Snowshoe Hare,,0
1/15/2024 17:00,13:21,14,2,1,7,SM,14-2-1-7-SM,148247.3138,509971.7445,75 - 100%,Dense understory hemlock,Snowshoe Hare,,0
2/1/2024 17:00,9:41,14,2,2,1,CR,14-2-2-1-CR,148339.2515,509971.9681,75 - 100%,4 pellets found hemlock and beech trees,Snowshoe Hare,,0
2/27/2024 17:00,13:25,14,2,3,10,AZ,14-2-3-10-AZ,148410.9541,509923.3835,0 - 25%,Hemlock,Snowshoe Hare,,0
2/27/2024 17:00,13:29,14,2,3,11,AZ,14-2-3-11-AZ,148497.8568,509923.6369,0 - 25%,Hemlock,Snowshoe Hare,,0
2/27/2024 17:00,13:33,14,2,3,12,AZ,14-2-3-12-AZ,148581.5358,509923.0453,0 - 25%,Hemlock,Snowshoe Hare,,0
2/27/2024 17:00,13:35,14,2,3,13,AZ,14-2-3-13-AZ,148606.8315,509922.684,0 - 25%,Mature hemlockm near young hemlock,Snowshoe Hare,,0
2/27/2024 17:00,13:40,14,2,3,14,AZ,14-2-3-14-AZ,148733.7633,509923.7092,0 - 25%,Hemlock,Snowshoe Hare,,0
2/27/2024 17:00,13:44,14,2,3,15,AZ,14-2-3-15-AZ,148808.6594,509913.9955,0 - 25%,Brush pile near hemlock,Snowshoe Hare,,0
2/27/2024 17:00,12:47,14,2,3,1,AZ,14-2-3-1-AZ,147376.964,509894.2971,0 - 25%,Mature w young beech,Snowshoe Hare,,0
2/27/2024 17:00,12:49,14,2,3,2,AZ,14-2-3-2-AZ,147398.1018,509909.5829,0 - 25%,Mature w young beech,Snowshoe Hare,,0
2/27/2024 17:00,12:53,14,2,3,3,AZ,14-2-3-3-AZ,147418.8932,509927.712,0 - 25%,In beech by hemlock,Snowshoe Hare,,0
2/27/2024 17:00,13:04,14,2,3,4,AZ,14-2-3-4-AZ,147936.4554,509925.1545,0 - 25%,Mature w young beech,Snowshoe Hare,,0
2/27/2024 17:00,13:11,14,2,3,5,AZ,14-2-3-5-AZ,148112.1424,509903.8862,0 - 25%,Hemlock,Snowshoe Hare,,0
2/27/2024 17:00,13:18,14,2,3,6,AZ,14-2-3-6-AZ,148328.0104,509950.8272,0 - 25%,Beech and hemlock,Snowshoe Hare,,0
2/27/2024 17:00,13:19,14,2,3,7,AZ,14-2-3-7-AZ,148340.7824,509950.7099,0 - 25%,Beech and hemlock,Snowshoe Hare,,0
2/27/2024 17:00,13:21,14,2,3,8,AZ,14-2-3-8-AZ,148363.4538,509935.5217,0 - 25%,Hemlock,Snowshoe Hare,,0
2/27/2024 17:00,13:23,14,2,3,9,AZ,14-2-3-9-AZ,148400.0369,509929.3031,0 - 25%,Hemlock,Snowshoe Hare,,0
2/1/2024 17:00,10:25,14,3,2,2,CR,14-3-2-2-CR,148623.0744,510104.2684,25 - 75%,Wet marshy area in hemlocks probably deer poop,Snowshoe Hare,,0
2/1/2024 17:00,10:49,14,3,2,3,CR,14-3-2-3-CR,148999.9476,510151.5287,25 - 75%,"Beech and hemlock opening
",Snowshoe Hare,,1
2/26/2024 17:00,8:54,14,3,3,1,SM,14-3-3-1-SM,148990.8164,510189.1073,0 - 25%,Young hemlock,Snowshoe Hare,,1
2/26/2024 17:00,8:57,14,3,3,2,SM,14-3-3-2-SM,149008.0084,510175.7939,0 - 25%,Young hemlock,Snowshoe Hare,,1
2/26/2024 17:00,9:13,14,3,3,3,SM,14-3-3-3-SM,148565.046,510104.2717,0 - 25%,Young hemlock ,Snowshoe Hare,,0
2/26/2024 17:00,9:18,14,3,3,4,SM,14-3-3-4-SM,148482.6906,510104.0093,0 - 25%,"Young hemlock, mature cherry ",Snowshoe Hare,,0
2/26/2024 17:00,9:26,14,3,3,5,SM,14-3-3-5-SM,148281.1293,510126.5703,0 - 25%,"Beech and mature Cherry, not very dense",Snowshoe Hare,,0
2/26/2024 17:00,9:30,14,3,3,6,SM,14-3-3-6-SM,148247.5549,510136.7429,0 - 25%,,Snowshoe Hare,,0
2/26/2024 17:00,9:33,14,3,3,7,SM,14-3-3-7-SM,148231.3624,510107.9667,0 - 25%,Mature hemlock,Snowshoe Hare,,0
2/26/2024 17:00,9:36,14,3,3,8,SM,14-3-3-8-SM,148182.1734,510110.3397,0 - 25%,Young hemlock ,Snowshoe Hare,,0
2/26/2024 17:00,9:40,14,3,3,9,SM,14-3-3-9-SM,148165.1224,510106.4026,0 - 25%,Young hemlock ,Snowshoe Hare,,0
1/15/2024 17:00,12:16,14,4,1,1,AM,14-4-1-1-AM,148897.8794,510303.6424,75 - 100%,"Fringe of hardwood and young hemlock growth.
",Snowshoe Hare,,0
1/15/2024 17:00,12:11,14,4,1,1,LS,14-4-1-1-LS,149090.5873,510246.5237,75 - 100%,Off transect,Snowshoe Hare,,1
1/15/2024 17:00,12:24,14,4,1,2,AM,14-4-1-2-AM,148885.5311,510305.2426,,"Fringe of young hemlock, could be the same individual from sample 1
",Snowshoe Hare,,0
1/15/2024 17:00,12:15,14,4,1,2,LS,14-4-1-2-LS,149090.6524,510248.1718,75 - 100%,Off transect,Snowshoe Hare,,1
1/15/2024 17:00,12:29,14,4,1,3,AM,14-4-1-3-AM,148875.0053,510312.1257,75 - 100%,Hardwood mix,Snowshoe Hare,,0
1/15/2024 17:00,12:35,14,4,1,4,AM,14-4-1-4-AM,148865.0036,510312.5861,75 - 100%,Possible same individual as 3 under young hemlock,Snowshoe Hare,,0
1/15/2024 17:00,12:43,14,4,1,5,AM,14-4-1-5-AM,148765.9937,510325.4691,75 - 100%,Mix mature hemlock and hardwood,Snowshoe Hare,,0
1/15/2024 17:00,12:49,14,4,1,6,AM,14-4-1-6-AM,148745.0342,510322.8712,75 - 100%,Young hemlock,Snowshoe Hare,,0
1/15/2024 17:00,13:10,14,4,1,7,AM,14-4-1-7-AM,148192.3652,510439.1852,75 - 100%,Hardwood open overstory,Snowshoe Hare,,0
2/1/2024 17:00,11:10,14,4,2,4,CR,14-4-2-4-CR,148854.0342,510306.8842,75 - 100%,Clearing with hemlocks and beech and black Cherry ,Snowshoe Hare,,0
2/26/2024 17:00,10:48,14,4,3,1,SM,14-4-3-1-SM,147775.0946,510345.6723,0 - 25%,Edge of dense young hemlock,Snowshoe Hare,,0
2/26/2024 17:00,11:16,14,4,3,2,SM,14-4-3-2-SM,148609.8584,510357.7181,0 - 25%,"Dogwood and mixed age cherry, not very dense",Snowshoe Hare,,0
2/26/2024 17:00,11:20,14,4,3,3,SM,14-4-3-3-SM,148644.6827,510356.6235,0 - 25%,,Snowshoe Hare,,0
2/26/2024 17:00,11:25,14,4,3,4,SM,14-4-3-4-SM,148760.2646,510349.133,0 - 25%,Dogwood and mixed age hemlock,Snowshoe Hare,,0
2/26/2024 17:00,11:31,14,4,3,5,SM,14-4-3-5-SM,148864.9649,510318.6567,0 - 25%,"Mature cherry, young hemlock, dogwood, moderately dense",Snowshoe Hare,,0
2/26/2024 17:00,11:37,14,4,3,6,SM,14-4-3-6-SM,148895.3216,510312.5915,0 - 25%,Young hemlock ,Snowshoe Hare,,0
1/17/2024 17:00,10:47,14,5,1,1,AZ,14-5-1-1-AZ,148475.4824,510508.6256,75 - 100%,On tracks. Young beech/maple stand on edge of mature hemlock,Snowshoe Hare,,0
1/17/2024 17:00,10:52,14,5,1,2,AZ,14-5-1-2-AZ,148475.6711,510513.1253,75 - 100%,On tracks. Young beech/maple stand on edge of mature hemlock stand,Snowshoe Hare,,0
1/17/2024 17:00,11:10,14,5,1,3,AZ,14-5-1-3-AZ,148822.2399,510479.5068,75 - 100%,"In mature hemlock/northern hardwoods, open understory, but near dense young hemlock patches",Snowshoe Hare,,0
1/17/2024 17:00,11:13,14,5,1,4,AZ,14-5-1-4-AZ,148831.9601,510481.5109,75 - 100%,Same as 3,Snowshoe Hare,,0
1/17/2024 17:00,11:20,14,5,1,5,AZ,14-5-1-5-AZ,148844.5519,510472.1782,75 - 100%,Dense hemlock. Saw hare,Snowshoe Hare,,0
2/26/2024 17:00,8:56,14,5,3,1,AM,14-5-3-1-AM,148871.5782,510477.5393,0 - 25%,Fringe of old and young hemlock,Snowshoe Hare,,0
2/26/2024 17:00,9:04,14,5,3,2,AM,14-5-3-2-AM,148637.9502,510525.6228,0 - 25%,Fringe of hemlock thicket,Snowshoe Hare,,0
2/26/2024 17:00,9:10,14,5,3,3,AM,14-5-3-3-AM,148558.3209,510525.7688,0 - 25%,Beech,Snowshoe Hare,,0
2/26/2024 17:00,9:14,14,5,3,4,AM,14-5-3-4-AM,148484.1816,510491.3677,0 - 25%,Beech,Snowshoe Hare,,0
2/26/2024 17:00,9:34,14,5,3,5,AM,14-5-3-5-AM,147737.4655,510497.2595,0 - 25%,Beech,Snowshoe Hare,,0
1/15/2024 17:00,13:03,14,6,1,1,LS,14-6-1-1-LS,148050.9112,510722.7294,75 - 100%,Hemlock forest,Snowshoe Hare,,0
1/15/2024 17:00,13:25,14,6,1,2,LS,14-6-1-2-LS,147934.5093,510724.6293,75 - 100%,,Snowshoe Hare,,0
2/26/2024 17:00,10:13,14,6,3,1,AM,14-6-3-1-AM,147850.0733,510688.329,0 - 25%,Hemlock,Snowshoe Hare,,0
2/26/2024 17:00,10:16,14,6,3,2,AM,14-6-3-2-AM,147867.539,510683.171,0 - 25%,Beech,Snowshoe Hare,,0
2/26/2024 17:00,10:20,14,6,3,3,AM,14-6-3-3-AM,147879.5832,510670.8445,0 - 25%,Beech,#N/A,labeling problem - check with Jessie,0
2/26/2024 17:00,10:25,14,6,3,4,AM,14-6-3-4-AM,147915.2589,510668.8819,0 - 25%,Beech,Snowshoe Hare,,0
2/9/2024 17:00,12:59,14,9,2,1,TF,14-9-2-1-TF,147126.1065,511205.3652,0 - 25%,,Snowshoe Hare,,0
2/9/2024 17:00,13:12,14,9,2,2,TF,14-9-2-2-TF,147008.274,511200.0634,0 - 25%,,Snowshoe Hare,,0
2/9/2024 17:00,13:18,14,9,2,3,TF,14-9-2-3-TF,146999.4978,511211.9771,0 - 25%,,Snowshoe Hare,,0
2/26/2024 17:00,11:46,14,9,3,1,LS,14-9-3-1-LS,147069.3805,511227.0546,0 - 25%,"Mixed young beech, cherry,and hemlock along old logging rd",Snowshoe Hare,,0
1/30/2024 17:00,10:47,33,10,1,1,LS,33-10-1-1-LS,163307.088,551832.7965,75 - 100%,Young beech and birch forest,Snowshoe Hare,,0
1/30/2024 17:00,10:52,33,10,1,2,LS,33-10-1-2-LS,163296.903,551812.8891,75 - 100%,,Snowshoe Hare,,0
1/30/2024 17:00,10:57,33,10,1,3,LS,33-10-1-3-LS,163336.1776,551793.4445,75 - 100%,,Snowshoe Hare,,0
3/14/2024 16:00,10:35,33,10,4,1,AM,33-10-4-1-AM,162396.7429,551722.2562,0 - 25%,Found in between transects ,Eastern Cottontail,,1
3/14/2024 16:00,10:52,33,10,4,2,AM,33-10-4-2-AM,162898.6543,551853.8012,0 - 25%,Beech,Eastern Cottontail,,0
1/30/2024 17:00,10:46,33,11,1,1,AM,33-11-1-1-AM,163255.8283,551992.3024,75 - 100%,Young beech stand,Snowshoe Hare,,0
1/30/2024 17:00,11:14,33,11,1,2,AM,33-11-1-2-AM,163983.0776,551964.6588,75 - 100%,Beach maple thicket,Snowshoe Hare,,0
2/9/2024 17:00,9:11,33,11,2,1,SM,33-11-2-1-SM,163018.8956,551990.7361,0 - 25%,Edge of some thick raspberry ,Eastern Cottontail,,0
2/9/2024 17:00,9:12,33,11,2,2,SM,33-11-2-2-SM,163019.5595,551990.4547,0 - 25%,,Eastern Cottontail,,0
2/9/2024 17:00,9:53,33,11,2,3,SM,33-11-2-3-SM,163908.2377,552007.2161,25 - 75%,Mixed age cherry and beech. Somewhat dense ,Snowshoe Hare,,0
2/9/2024 17:00,9:59,33,11,2,4,SM,33-11-2-4-SM,163937.846,552006.6108,75 - 100%,Mixed age cherry and beech. Somewhat dense ,Snowshoe Hare,,0
2/9/2024 17:00,10:03,33,11,2,5,SM,33-11-2-5-SM,163956.1745,552005.6979,75 - 100%,Somewhat dense mixed age beech,Snowshoe Hare,,0
2/9/2024 17:00,10:06,33,11,2,6,SM,33-11-2-6-SM,163953.716,552004.9534,75 - 100%,,Snowshoe Hare,,0
2/9/2024 17:00,10:10,33,11,2,7,SM,33-11-2-7-SM,163969.4472,552006.786,75 - 100%,Somewhat dense young beech,Snowshoe Hare,,0
2/9/2024 17:00,10:13,33,11,2,8,SM,33-11-2-8-SM,163978.4826,551997.5742,25 - 75%,,Snowshoe Hare,,0
2/9/2024 17:00,12:26,33,11,2,9,SM,33-11-2-9-SM,162669.6502,552024.7543,0 - 25%,Beech and mature cherry. Not very dense ,Snowshoe Hare,,0
2/21/2024 17:00,9:10,33,11,3,1,CR,33-11-3-1-CR,163940.3474,551968.8574,75 - 100%,"Within old fenced off area, mostly beech trees at mid canopy height",Snowshoe Hare,,0
2/21/2024 17:00,9:19,33,11,3,2,CR,33-11-3-2-CR,164030.2968,551980.6816,75 - 100%,Beech trees and Cherry trees with old fence area,Snowshoe Hare,,0
3/14/2024 16:00,8:46,33,11,4,1,LS,33-11-4-1-LS,162997.8865,551984.4187,0 - 25%,Raspberry and  beech thicket,Eastern Cottontail,,0
3/14/2024 16:00,8:49,33,11,4,2,LS,33-11-4-2-LS,162984.8112,551966.8369,0 - 25%,Beech and raspberry thicket ,Eastern Cottontail,,0
3/14/2024 16:00,8:51,33,11,4,3,LS,33-11-4-3-LS,162998.8121,551972.5037,0 - 25%,Beech and raspberry thicket ,Eastern Cottontail,,0
3/14/2024 16:00,8:55,33,11,4,4,LS,33-11-4-4-LS,162998.9898,551964.6682,0 - 25%,Raspberry and young maple ,Undetermined,,0
3/14/2024 16:00,8:59,33,11,4,5,LS,33-11-4-5-LS,163004.3664,551973.0156,0 - 25%,Raspberry and devil’s walking stick thicket,Eastern Cottontail,,0
3/14/2024 16:00,9:11,33,11,4,6,LS,33-11-4-6-LS,163299.383,551996.8657,0 - 25%,Burch and beech overstory. Very little understory cover. ,Snowshoe Hare,,0
3/14/2024 16:00,9:16,33,11,4,7,LS,33-11-4-7-LS,163200.1805,551968.0855,0 - 25%,Birch and beech overstory ,Snowshoe Hare,,0
2/9/2024 17:00,11:22,33,12,2,10,SM,33-12-2-10-SM,164043.853,552150.749,0 - 25%,,Snowshoe Hare,,0
2/9/2024 17:00,11:26,33,12,2,11,SM,33-12-2-11-SM,163992.6558,552157.8951,0 - 25%,,Snowshoe Hare,,0
2/9/2024 17:00,10:39,33,12,2,1,SM,33-12-2-1-SM,164328.5917,552140.1085,75 - 100%,"Not very dense.  Mixed age, beech",Snowshoe Hare,,0
2/9/2024 17:00,10:53,33,12,2,2,SM,33-12-2-2-SM,164167.8633,552146.1062,25 - 75%,"Mixed age beech, not very dense",Snowshoe Hare,,0
2/9/2024 17:00,10:57,33,12,2,3,SM,33-12-2-3-SM,164163.2709,552148.0935,25 - 75%,Might be cottontail ,Snowshoe Hare,,0
2/9/2024 17:00,11:00,33,12,2,4,SM,33-12-2-4-SM,164161.0412,552151.8768,25 - 75%,"Mixed age beech, not very dense ",Snowshoe Hare,,0
2/9/2024 17:00,11:04,33,12,2,5,SM,33-12-2-5-SM,164143.9174,552143.6447,25 - 75%,,Snowshoe Hare,,0
2/9/2024 17:00,11:07,33,12,2,6,SM,33-12-2-6-SM,164127.3549,552149.2441,75 - 100%,,Snowshoe Hare,,0
2/9/2024 17:00,11:11,33,12,2,7,SM,33-12-2-7-SM,164099.6044,552146.3766,25 - 75%,Mixed age beech ,Snowshoe Hare,,0
2/9/2024 17:00,11:14,33,12,2,8,SM,33-12-2-8-SM,164090.5271,552151.2268,25 - 75%,Somewhat dense beech,Snowshoe Hare,,0
2/9/2024 17:00,11:18,33,12,2,9,SM,33-12-2-9-SM,164085.4811,552163.6692,25 - 75%,,Snowshoe Hare,,0
2/21/2024 17:00,9:51,33,12,3,1,CR,33-12-3-1-CR,164139.7485,552168.3495,75 - 100%,"Beech, birch, near cleans/road",Snowshoe Hare,,0
2/21/2024 17:00,10:03,33,12,3,2,CR,33-12-3-2-CR,163983.727,552162.1423,75 - 100%,"Beech, birch, cheery, all young trees. Can hear loud vehicle or helicopter noise ",Snowshoe Hare,,0
2/21/2024 17:00,10:38,33,12,3,3,CR,33-12-3-3-CR,163228.4098,552136.585,75 - 100%,"Ash, beech, birch and Cherry, young trees but not saplings, near road",Snowshoe Hare,,0
3/14/2024 16:00,10:34,33,12,4,1,LS,33-12-4-1-LS,162835.1278,552126.3745,0 - 25%,Roadside raspberry and saplings ,Undetermined,,0
2/12/2024 17:00,12:03,33,3,2,1,CR,33-3-2-1-CR,162361.9266,550430.8631,0 - 25%,Found on my out of site,Eastern Cottontail,,1
3/17/2024 16:00,10:06,33,4,1,1,TF,33-4-1-1-TF,162497.2561,550691.153,0 - 25%,,Undetermined,not lagomorph. Not submitted,0
3/14/2024 16:00,9:26,33,8,4,1,CR,33-8-4-1-CR,162841.2498,551447.6089,0 - 25%,"Small to medium beech trees, lots of brush (branches and down trees), near road",Snowshoe Hare,,0
3/14/2024 16:00,9:47,33,8,4,2,CR,33-8-4-2-CR,163391.4066,551429.1007,0 - 25%,"Beech samplings thicket  near road, logging very close",Eastern Cottontail,,0
2/9/2024 17:00,11:07,33,9,2,1,CR,33-9-2-1-CR,163052.7525,551600.358,0 - 25%,Beech saplings and prickers thicket,Eastern Cottontail,,0
2/9/2024 17:00,11:18,33,9,2,2,CR,33-9-2-2-CR,162956.2063,551588.0959,25 - 75%,Prickers thicket,Eastern Cottontail,,0
2/9/2024 17:00,11:43,33,9,2,3,CR,33-9-2-3-CR,162461.5995,551617.854,0 - 25%,Beech trees,Eastern Cottontail,,0
3/14/2024 16:00,10:16,33,9,4,1,AM,33-9-4-1-AM,162977.2331,551606.145,0 - 25%,Birch,Eastern Cottontail,,0
2/7/2024 17:00,13:13,39,10,1,14,CR,39-10-1-14-CR,172237.0217,480399.7499,25 - 75%,"Yellow birch, hemlocks, Cherry, near creek",Snowshoe Hare,,0
2/7/2024 17:00,13:27,39,10,1,15,CR,39-10-1-15-CR,172350.631,480415.786,0 - 25%,Boulders and birch trees ,Snowshoe Hare,,0
2/7/2024 17:00,13:47,39,10,1,16,CR,39-10-1-16-CR,172676.106,480352.1036,0 - 25%,"No snow, Cherry and maple, with beech too",Snowshoe Hare,,0
2/7/2024 17:00,14:00,39,10,1,17,CR,39-10-1-17-CR,172915.9172,480365.0072,0 - 25%,Beech saplings ,Snowshoe Hare,,0
2/7/2024 17:00,14:09,39,10,1,18,CR,39-10-1-18-CR,173002.2771,480387.4376,0 - 25%,"Cherry, beech saplings, prickers",Snowshoe Hare,,0
2/7/2024 17:00,14:16,39,10,1,19,CR,39-10-1-19-CR,173048.6619,480387.2945,0 - 25%,"Cherry, beech saplings, boulders ",Snowshoe Hare,,0
2/19/2024 17:00,9:43,39,10,2,1,AZ,39-10-2-1-AZ,173059.9234,480376.9074,75 - 100%,Thin saplings under remnant over story. By boulders. Tracks,Snowshoe Hare,,0
2/19/2024 17:00,9:53,39,10,2,2,AZ,39-10-2-2-AZ,172933.2264,480381.2253,75 - 100%,Mature forest w lots of seedlings,Snowshoe Hare,,0
2/19/2024 17:00,10:10,39,10,2,3,AZ,39-10-2-3-AZ,172659.2,480395.1817,75 - 100%,"Mature sparse over story, dense seedlings",Snowshoe Hare,,0
2/19/2024 17:00,10:13,39,10,2,4,AZ,39-10-2-4-AZ,172662.9939,480395.0124,75 - 100%,Same as 3,Snowshoe Hare,,0
3/15/2024 16:00,10:41,39,10,3,1,LS,39-10-3-1-LS,172745.4933,480374.5718,0 - 25%,Young beech and maple ,Snowshoe Hare,,0
3/15/2024 16:00,10:46,39,10,3,2,LS,39-10-3-2-LS,172670.1864,480388.3168,0 - 25%,,Snowshoe Hare,,0
3/15/2024 16:00,11:00,39,10,3,3,LS,39-10-3-3-LS,172258.6576,480418.3685,0 - 25%,Hemlock thicket edge,Snowshoe Hare,,0
3/15/2024 16:00,11:11,39,10,3,4,LS,39-10-3-4-LS,171958.1033,480396.0669,0 - 25%,Hemlock thicket edge,Snowshoe Hare,,0
3/15/2024 16:00,11:17,39,10,3,5,LS,39-10-3-5-LS,171961.7062,480384.9867,0 - 25%,Young and mature hemlock ,Snowshoe Hare,,0
3/15/2024 16:00,11:20,39,10,3,6,LS,39-10-3-6-LS,171943.0062,480388.1882,,,Snowshoe Hare,,0
4/9/2024 16:00,10:37,39,10,4,1,AM,39-10-4-1-AM,172431.1557,480447.0665,0 - 25%,,Snowshoe Hare,,0
4/9/2024 16:00,10:43,39,10,4,2,AM,39-10-4-2-AM,172388.2761,480440.2125,0 - 25%,,Snowshoe Hare,,0
4/9/2024 16:00,11:03,39,10,4,3,AM,39-10-4-3-AM,171950.6207,480385.7766,0 - 25%,,Snowshoe Hare,,0
2/20/2024 17:00,10:52,39,11,2,1,AZ,39-11-2-1-AZ,172921.9221,480584.8828,75 - 100%,"Open overstory, dense seedlings",Snowshoe Hare,,0
3/15/2024 16:00,10:11,39,11,3,1,AM,39-11-3-1-AM,172445.4769,480624.6634,0 - 25%,Birch/cherry ,Snowshoe Hare,,0
4/11/2024 16:00,10:17,39,11,4,1,LS,39-11-4-1-LS,172901.8691,480582.1202,0 - 25%,Thicket of young birch and devil’s walking stick with coniferous overstory ,Snowshoe Hare,,0
4/11/2024 16:00,10:22,39,11,4,2,LS,39-11-4-2-LS,172971.0575,480573.1929,0 - 25%,"Young birch understory, conifer and Cherry overstory ",Snowshoe Hare,,0
4/11/2024 16:00,10:24,39,11,4,3,LS,39-11-4-3-LS,172978.3603,480566.9361,0 - 25%,,Snowshoe Hare,,0
4/11/2024 16:00,10:26,39,11,4,4,LS,39-11-4-4-LS,172982.7714,480559.0859,0 - 25%,,Snowshoe Hare,,0
3/15/2024 16:00,9:19,39,12,3,1,AM,39-12-3-1-AM,172748.2236,480798.0377,0 - 25%,Birch,Snowshoe Hare,,0
2/6/2024 17:00,11:16,39,4,1,1,AM,39-4-1-1-AM,172456.2107,479389.4857,0 - 25%,Young beach old cutting not a lot of overstory,Snowshoe Hare,,0
2/6/2024 17:00,11:21,39,4,1,2,AM,39-4-1-2-AM,172448.8967,479388.1215,0 - 25%,Beech possibly same individual as sample 1,Snowshoe Hare,,0
2/6/2024 17:00,11:26,39,4,1,3,AM,39-4-1-3-AM,172419.3551,479397.0118,0 - 25%,Beech poop party,Snowshoe Hare,,0
3/27/2024 16:00,10:10,39,4,3,1,LS,39-4-3-1-LS,172571.27,479303.0636,0 - 25%,Thick sapling regrowth in previously cut area.Many nearby downed mature trees for cover,Snowshoe Hare,,0
4/3/2024 16:00,9:19,39,4,4,1,CR,39-4-4-1-CR,172414.1156,479424.2851,0 - 25%,Edge of beech thicket. Off transect because of cuttings and blown downs.,Snowshoe Hare,,1
4/3/2024 16:00,9:34,39,4,4,2,CR,39-4-4-2-CR,172568.9142,479304.3791,0 - 25%,Beech raspberry thicket. ,Snowshoe Hare,,0
2/7/2024 17:00,10:53,39,5,1,1,LS,39-5-1-1-LS,172725.9282,479494.9949,0 - 25%,Old clear cut with raspberry and saplings ,Eastern Cottontail,,0
2/7/2024 17:00,10:56,39,5,1,2,LS,39-5-1-2-LS,172725.7135,479493.1569,0 - 25%,,Undetermined,,0
2/7/2024 17:00,11:08,39,5,1,3,LS,39-5-1-3-LS,172559.1599,479485.2755,0 - 25%,,Snowshoe Hare,,0
2/7/2024 17:00,11:11,39,5,1,4,LS,39-5-1-4-LS,172557.5492,479488.5304,0 - 25%,,Snowshoe Hare,,0
2/7/2024 17:00,11:14,39,5,1,5,LS,39-5-1-5-LS,172550.6341,479490.2809,0 - 25%,,Snowshoe Hare,,0
2/7/2024 17:00,11:19,39,5,1,6,LS,39-5-1-6-LS,172533.7573,479477.4912,0 - 25%,,Snowshoe Hare,,0
2/7/2024 17:00,11:41,39,5,1,7,LS,39-5-1-7-LS,172092.9535,479511.9876,0 - 25%,In an area with a lot of down trees. Very little other overhead cover.,Snowshoe Hare,,0
2/19/2024 17:00,10:40,39,5,2,1,AM,39-5-2-1-AM,172087.218,479535.072,75 - 100%,Cutting saw the hare!,Snowshoe Hare,,0
3/27/2024 16:00,11:26,39,5,3,1,SM,39-5-3-1-SM,172560.3731,479467.7311,0 - 25%,Dense beech and raspberry ,Snowshoe Hare,,0
3/27/2024 16:00,11:30,39,5,3,2,SM,39-5-3-2-SM,172552.6901,479467.9688,0 - 25%,Dense beech and raspberry ,Snowshoe Hare,,0
3/27/2024 16:00,11:38,39,5,3,3,SM,39-5-3-3-SM,172406.4462,479461.0357,0 - 25%,"Edge of logged area, dense beech and raspberry ",Snowshoe Hare,,0
4/9/2024 16:00,9:42,39,5,4,1,LS,39-5-4-1-LS,172183.3742,479501.3157,0 - 25%,Near down trees,Snowshoe Hare,,0
